Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
01/01/2021,24.2,30.6,27.2,83,3.5,3,6,340,2
02/01/2021,25,30.8,27.6,81,3,1.4,4,350,2
03/01/2021,24.8,31.2,27.3,83,,3.2,5,40,2
04/01/2021,24,31,27.7,80,1.9,5.8,7,330,2
05/01/2021,24.2,30.6,27.4,81,8,7.4,8,330,3
06/01/2021,25,32.2,28.3,74,0.5,2.5,6,330,2
07/01/2021,25.6,30,27.1,82,,5.1,5,290,2
08/01/2021,25,31,27.4,82,0.7,2.2,5,320,2
09/01/2021,24.6,31.4,26.7,86,28.3,1.4,6,360,2
10/01/2021,24.8,31.2,27.6,80,6,4.5,4,20,2
11/01/2021,25.5,32.4,27.8,84,4.1,4.5,6,330,2
12/01/2021,25.2,31.6,28.1,82,0.8,2.5,6,330,2
13/01/2021,25,31.8,27.5,84,4,,6,320,2
14/01/2021,25,29.9,26.8,83,2.8,5.5,6,160,2
15/01/2021,24.6,30.6,27.6,80,,1.5,6,320,2
16/01/2021,25,31.8,26.9,85,0,0.5,4,360,1
17/01/2021,24.2,31.6,27.2,81,1,1,8,340,3
18/01/2021,24.4,28.3,25.9,89,15,7,7,320,3
19/01/2021,23.2,27.4,24,95,42.4,0.3,7,330,2
20/01/2021,23.4,30.8,27.7,76,8.9,0.2,6,310,3
21/01/2021,24.6,30.6,27.3,80,,0.2,9,330,3
22/01/2021,25.4,30,26.8,85,9.5,5.7,7,310,2
23/01/2021,24.6,30.8,27.3,80,7.7,3,7,330,2
24/01/2021,24.2,29.6,26.7,86,0,5.2,7,340,1
25/01/2021,24.6,30.8,27.1,80,2.3,2.4,5,340,2
26/01/2021,24.6,30.7,26.9,82,0,7.3,5,350,2
27/01/2021,24,29.6,25.9,87,11,,6,300,2
28/01/2021,,30.4,26.8,84,10.3,1.8,8,330,4
29/01/2021,24.3,28,25.1,90,10.2,4,7,300,4
30/01/2021,24.4,27,25.1,89,13.5,0,7,300,2
31/01/2021,23.8,30.6,25.4,87,20,0,8,330,3
01/02/2021,24,31.4,27.6,79,16,4,7,330,4
02/02/2021,24,,26.6,86,5.2,7,9,330,5
03/02/2021,24,30.8,26.4,86,5.1,5,10,280,4
04/02/2021,24,30.4,25.4,94,79,3,8,300,4
05/02/2021,24.4,30.8,27.1,80,32,1.8,7,310,4
06/02/2021,23.8,26.8,24.9,94,171,1.5,4,290,2
07/02/2021,23.5,28,25.9,90,55.3,0,8,290,3
08/02/2021,24,27.2,25.2,95,42.3,0.1,5,280,2
09/02/2021,24,31.2,26.9,84,34.5,0.2,7,300,3
10/02/2021,23.6,30.8,26.9,88,5,6,6,330,2
11/02/2021,24.2,30.4,27.5,84,4.4,1.3,6,330,2
12/02/2021,25,31.3,27.7,84,25.5,4.6,7,330,3
13/02/2021,24.8,32.2,27.6,83,9.4,6.3,8,310,3
14/02/2021,25.2,30.4,27.1,85,,4,8,330,2
15/02/2021,24.2,30.2,26.4,87,12.6,1.5,8,330,4
16/02/2021,23.2,29.8,27.1,81,16.5,6.1,6,340,2
17/02/2021,24.2,30.6,26.8,86,7,4.2,7,330,2
18/02/2021,24.6,30.3,26.8,85,,5.5,8,330,3
19/02/2021,24,27.6,25.1,88,5.5,5,7,320,4
20/02/2021,23.8,30,25.8,86,18.5,0,7,330,3
21/02/2021,23.6,32.6,27.6,76,1.8,3.6,7,330,2
22/02/2021,24.7,31.4,27.5,83,0.7,6.3,6,330,2
23/02/2021,23.6,31.6,26.2,84,0.4,3.5,8,320,4
24/02/2021,24,30.4,27,84,52.4,5.5,8,310,3
25/02/2021,23.6,27.4,25.4,91,61.5,1,6,290,2
26/02/2021,23.5,31.5,26.7,82,57.8,0,7,330,3
27/02/2021,23.2,31.4,27.9,80,,7,6,340,3
28/02/2021,24.6,30.3,27.2,77,1,7.6,3,10,1
01/03/2021,24.6,30.8,27.7,76,0.4,2.5,4,340,2
02/03/2021,25.4,32,27.8,79,0,3,8,340,3
03/03/2021,25.4,31.6,27.9,79,0,4.4,8,330,2
04/03/2021,25.2,31.6,27,78,0,7,7,340,2
05/03/2021,24.8,30.6,27.3,83,4.4,3.2,5,310,1
06/03/2021,,31.2,28.3,76,0,6.4,6,330,2
07/03/2021,24.4,31.4,26.9,81,1,7.2,6,240,2
08/03/2021,24.5,31,27.3,82,8.8,4.8,5,310,2
09/03/2021,24,31.6,27.2,80,7,4,8,320,3
10/03/2021,24,30,26.8,85,3,5.5,6,340,3
11/03/2021,24.8,32,27.8,79,,1.7,7,340,2
12/03/2021,25.4,31.6,28.1,76,0,8.2,6,330,2
13/03/2021,,31,26.8,86,15.6,6.6,4,340,2
14/03/2021,24.3,31.1,27,81,14,3.8,6,330,2
15/03/2021,25,31.6,27.3,81,,8.3,8,330,3
16/03/2021,25.6,31.2,27.7,84,3,7.5,5,310,2
17/03/2021,24.3,32.2,28,77,0.4,5.2,5,350,2
18/03/2021,25,31.7,28.5,74,0,9.5,5,340,2
19/03/2021,25.6,31.4,28,81,2.3,8.5,5,10,2
20/03/2021,25,32.3,28,79,,7,7,320,3
21/03/2021,25.5,31.5,27.9,81,,8.5,6,310,2
22/03/2021,24.6,31.2,27.8,81,14.8,6.8,3,350,1
23/03/2021,25.2,31.6,28.3,77,0,7.6,5,80,2
24/03/2021,25.8,31.6,28.6,78,0,7,5,10,2
25/03/2021,25.6,32,28.6,78,,10,5,20,2
26/03/2021,25.5,32.2,28.2,81,8.5,7.8,5,360,2
27/03/2021,25.8,32.4,28.7,78,,6,4,250,2
28/03/2021,25.6,32.2,28.3,80,0.2,8,5,340,2
29/03/2021,25.2,32.6,28.1,82,23.7,7.6,5,320,2
30/03/2021,23.8,30.8,27.1,85,35,6.6,5,340,1
31/03/2021,24.4,31.8,28.1,79,4.2,5,5,350,2
01/04/2021,25.4,31.5,27.8,82,19,7.4,10,330,3
02/04/2021,25.8,31.4,28.1,80,,5.8,5,340,2
03/04/2021,25.6,32.8,28.4,76,,6.5,8,300,3
04/04/2021,25.6,32.4,29.2,74,0,7,8,330,2
05/04/2021,25.7,32.1,28.9,75,,9,6,300,2
